多謝你 華語：謝謝你  
共這幅圖釘佇這面壁。 華語：把這幅圖釘在這面牆上。
我試看會當揣著伊無。 華語：我試試看能不能找到他。
我行到半路就杜著伊矣。 華語：我走到半路就遇見他了。
各人的物件愛顧了好。 華語：各自的東西要看好。
掀過來，背面嘛會使寫。 華語：翻過來，背面也可以寫。
物件用了，愛囥轉原位。 華語：東西用完，要放回原位。
逐擺看著伊攏微微仔笑。 華語：每次看到他都微笑。
欲上崎矣，你著愛出力行。 華語：要上坡了，你得用力走。
伊共我拍，我用手共伊掰開。 華語：他打我，我用手把他推開。
禮拜六大掃除，毋通走出去耍。 華語：星期六要大掃除，不要跑出去玩。
這件代誌啥物時陣欲開始動手？ 華語：這件事情什麼時候開始著手進行？
你欲出門進前，愛記得紮錢。 華語：你要出門之前，要記得帶錢。
你若有閒工，就來共我鬥相共。 華語：你如果有閒工夫，就來幫我的忙。
我有寫批予伊，毋過伊攏無共我回。 華語：我寫信給他，不過他都沒回信給我。
水滾矣。 華語：水煮開了。
伊有三間厝。 華語：他有三間房子。
有人咧掛電鈴。 華語：有人在按電鈴。
共垃圾提去摃。 華語：把垃圾拿去丟。
恁兜是佗位？ 華語：你們家住在哪裡？
咱共灶跤清清了。 華語：我們把廚房清理一下。
阿母咧曝棉被被。 華語：媽媽正在曬棉被。
這間厝裝了熱標。 華語：這間房子裝潢得不錯。
我的房間內全花芳味。 華語：我的房間裡都是花香味。
我毋知水池仔的深淺。 華語：我不知道水池的深度。
伊三不五時就來阮兜行踏。 華語：他不時來我們家串門子。
阮這間厝是欲租人做宿家的。 華語：我們這間房子是要租給人家當住家的。
規間厝恬靜無聲，連半个人影嘸無。 華語：整間屋子靜悄悄的，連半個人影都沒有。
伊兜火燒厝，你緊去叫伊老爸轉去。 華語：他家發生火災，你趕快去叫他爸爸回去。
便所臭氣答，予人鼻著強欲摃我。 華語：廁所刺鼻的尿騷味，讓人聞了快受不了。
海水漲起來矣。 華語：海水漲起來了。
日頭對東升出來。 華語：太陽從東邊出來。
日頭欲落山矣。 華語：太陽快要下山了。
落雨天莫出門較好。 華語：雨天別出門比較好。
霜風一直對門縫貫入來。 華語：冷風一直從門縫灌進來。
雨落過厲害，我看會做大水。 華語：雨下得這麼大，我看會鬧水災。
落雨了後，塗跡變甲滑溜溜。 華語：下雨過後，地上變得濕滑滑的。
天遂爾仔烏，等一下欲會落雨。 華語：天那麼黑，等一下也許會下雨。
青翠的草埔，予人看著真爽快。 華語：鮮綠的草地，讓人看了很舒服。
舊年遘火燒山，樹仔攏燒了了矣。 華語：去年遭遇山林火災，樹木全部燒光了。
今仔日的天氣佮平常時仔無全款。 華語：今天的天氣跟平時不一樣。
破去矣！ 華語：破掉了！
火化去矣。 華語：火燒滅了。
紙濕去矣。 華語：紙濕掉了。
共先結鬆開。 華語：把先結解開。
提筆來寫字。 華語：拿筆來寫字。
物件碎去矣。 華語：東西碎掉了。
用齒膏洗嘴。 華語：用牙膏刷牙。
這把刀子真利。 華語：這把刀子很鋒利。
有酒杯通貴無？ 華語：有沒有酒瓶可以賣？
飯裡固佇桌頂。 華語：飯鍋放在桌上。
總算是兩百枝。 華語：總共是兩百枝。
嬰仔愛坐奶母車。 華語：嬰兒要坐嬰兒車。
垃圾衫愛另外囥。 華語：髒衣服要另外放。
這個盤仔有缺角。 華語：這個盤子有缺角。
稍微佮個大概仔。 華語：稍微估個大概。
買一條裙綠送伊。 華語：買一條項鍊送給他。
共相片印佇杯仔頂。 華語：把照片印在杯子上。
這塊布的色緻真媠。 華語：這塊布的顏色真美。
我的手機仔害去矣。 華語：我的手機壞掉了。
伊想欲買一組沙發。 華語：他想要買一套沙發。
伊換鋪就眠袂去矣。 華語：他換床鋪就睡不著了。
電話的線路矣去矣。 華語：電話的管線壞掉了。
這个禮物有含伊的意。 華語：這個禮物他中意。
物件有夠，免閣買矣。 華語：物資充足，不必再買了。
索仔拍結，敲袂開矣。 華語：繩索打結，解不開了。
頭前徛一枝電火柱仔。 華語：前面豎立了一根電線桿。
你的銀角仔跋落去矣。 華語：你的銅板滾下去了。
你莫共伊的衫拔牢牢咧！ 華語：你別把他的衣服抓得緊緊的啦！
